Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
Used vehicle,Saloon,22487,German edition,49200.0,1498.0,96.0,Petrol,5.0,4/5,Manual gearbox,Euro6,,12/2020,New,"Automatic climatisation, 3 zones","Front, Self-steering systems, Rear",Front and Side and More Airbags,Pure White,White,"Cloth, Black",19250.0,Volkswagen,2.0,
Used vehicle,Saloon,073185,German edition,111227.0,1984.0,228.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2017,New,"Automatic climatisation, 2 zones","Camera, Front, Rear",Front and Side and More Airbags,Indiumgrau Metallic,Grey Metallic,"Alcantara, Black",26990.0,Volkswagen,2.0,4.0
Used vehicle,Estate Car,,,94500.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),03/2017,New,"Automatic climatisation, 3 zones","Front, Rear, 360° camera",Front and Side and More Airbags,Crimson Red Metallic,Red Metallic,"Full leather, Black",18800.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,85000.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),02/2015,02/2025,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Night Blue Metallic,Blue Metallic,"Part leather, Black",14700.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,84523.0,1197.0,77.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),07/2016,,Automatic air conditioning,"Front, Camera, Rear",Front and Side and More Airbags,Carbon Steel Grey,Grey Metallic,"Cloth, Grey",16490.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,34,German edition,69257.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),10/2015,11/2026,"Automatic climatisation, 2 zones","Rear, Front, Camera, Self-steering systems",Front and Side and More Airbags,Atlantik Blue Metallic,Blue Metallic,"Cloth, Grey",20990.0,Volkswagen,3.0,4.0
Used vehicle,Saloon,GW16030,,96788.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2017,New,"Automatic climatisation, 2 zones","Front, Self-steering systems, Rear",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Cloth, Black",16980.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,79000.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,White Silver Metallic,Silver Metallic,"Alcantara, Black",15990.0,Volkswagen,2.0,4.0
Used vehicle,Saloon,,German edition,89989.0,1984.0,169.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2018,12/2026,Automatic air conditioning,"Front, Camera, Rear",Front and Side and More Airbags,Oryxweiß Perlmutteffekt,White Metallic,"Cloth, Black",20990.0,Volkswagen,,4.0
Used vehicle,Saloon,3312,,97703.0,1984.0,180.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,White Silver Metallic,White Metallic,"Alcantara, Black",20431.0,Volkswagen,2.0,4.0
Used vehicle,Cabriolet / Roadster,2807,German edition,86500.0,1197.0,77.0,Petrol,4.0,2/3,Manual gearbox,,4 (Green),08/2015,New,A/C (man.),"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",15990.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,79550.0,1390.0,90.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2014,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Pure White,White,"Full leather, Black",13980.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,86327.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2017,New,"Automatic climatisation, 3 zones","Rear, Self-steering systems, Camera, Front",Front and Side and More Airbags,Ruby Red Metallic,Red Metallic,"Full leather, Black",25988.0,Volkswagen,1.0,
"Used vehicle, Repaired accident damage",Saloon,,,68000.0,1984.0,195.0,Petrol,5.0,4/5,Manual gearbox,Euro6,,10/2016,09/2026,No climatisation,,,,White,Cloth,19999.0,Volkswagen,2.0,
Used vehicle,Estate Car,5003,German edition,105000.0,1395.0,103.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),12/2013,New,"Automatic climatisation, 2 zones","Rear, Self-steering systems, Front",Front and Side and More Airbags,Pacific Blue (Blau),Blue Metallic,"Alcantara, Black",13990.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Estate Car,MSP07094,German edition,90500.0,1968.0,147.0,Diesel,5.0,4/5,Automatic,Euro6d,4 (Green),08/2021,New,"Automatic climatisation, 3 zones","Self-steering systems, Rear, Front, Camera",Front and Side and More Airbags,Deep Black Perleffekt,Black,"Cloth, Black",27880.0,Volkswagen,1.0,
"Used vehicle, Accident-free",Cabriolet / Roadster,VN01-MS2501-2216-4503N,German edition,101800.0,1390.0,118.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Oryxweiß Perlmutteffekt,White,"Full leather, Black",14490.0,Volkswagen,2.0,
Used vehicle,Van / Minibus,0510K,German edition,74057.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),09/2016,New,"Automatic climatisation, 2 zones","Rear, Self-steering systems, Front",Front and Side Airbags,Reflexsilber Metallic,Silver Metallic,"Alcantara, Black",23490.0,Volkswagen,,
"Used vehicle, Accident-free",Estate Car,V-29,German edition,132700.0,1968.0,135.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),04/2020,New,Automatic air conditioning,"Rear, Camera, Front",Front and Side and More Airbags,Pure White,White Metallic,"Alcantara, Black",17980.0,Volkswagen,1.0,
Used vehicle,Saloon,,German edition,105000.0,1197.0,77.0,Petrol,4.0,2/3,Manual gearbox,Euro5,4 (Green),04/2013,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Part leather, Black",14990.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Estate Car,37,German edition,89000.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),10/2015,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Kryptongrau Metallic,Grey Metallic,"Cloth, Black",13950.0,Volkswagen,1.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,HHN-911469,German edition,102507.0,1984.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,1 (None),04/2017,,"Automatic climatisation, 3 zones","Front, Self-steering systems, Camera, Rear",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Velour, Grey",26650.0,Volkswagen,1.0,4.0
Used vehicle,Saloon,,,67000.0,1984.0,199.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),05/2011,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Full leather, Black",21990.0,Volkswagen,,4.0
Used vehicle,Saloon,,,89850.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2014,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Night Blue Metallic,Blue Metallic,"Alcantara, Black",13980.0,Volkswagen,,
Used vehicle,Saloon,SRS-044415,,89997.0,1968.0,110.0,Diesel,5.0,4/5,Automatic,Euro6d,1 (None),07/2023,,"Automatic climatisation, 3 zones","Camera, Rear, Front",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Cloth, Black",23950.0,Volkswagen,1.0,4.0
Used vehicle,Cabriolet / Roadster,,German edition,96997.0,1968.0,103.0,Diesel,5.0,2/3,Automatic,Euro5,4 (Green),04/2014,07/2025,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",13500.0,Volkswagen,1.0,
Used vehicle,Saloon,97 -1705 0603BKM,German edition,83201.0,1984.0,169.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),07/2017,12/2025,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,White Silver Metallic,Silver Metallic,"Cloth, Other",19250.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,4,,88800.0,1390.0,118.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2013,,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",13880.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Saloon,8479,German edition,78480.0,1984.0,180.0,Petrol,5.0,4/5,Manual gearbox,Euro6d,4 (Green),08/2022,08/2025,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",29630.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Saloon,122,German edition,103500.0,1984.0,169.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),11/2017,12/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Tornadorot,Red,"Cloth, Black",17900.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Saloon,122,German edition,103500.0,1984.0,169.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),11/2017,12/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Tornadorot,Red,"Cloth, Black",17900.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,German edition,87900.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2014,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Pyramid Gold Metallic,Gold Metallic,"Cloth, Black",14999.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,99980.0,1395.0,90.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),01/2013,04/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Reflexsilber ,Silver Metallic,"Full leather, Black",13000.0,Volkswagen,,4.0
"Used vehicle, Accident-free",Estate Car,,,91700.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2014,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Part leather, Black",13990.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Van / Minibus,47626-58,German edition,94198.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),05/2016,New,"Automatic climatisation, 2 zones",Camera,Front and Side and More Airbags,Indiumgrau Metallic,Grey Metallic,"Cloth, Black",16480.0,Volkswagen,2.0,4.0
Used vehicle,Saloon,144,German edition,102422.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),04/2019,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",16900.0,Volkswagen,1.0,4.0
Used vehicle,Van / Minibus,237992,,115682.0,1197.0,77.0,Petrol,5.0,4/5,Manual gearbox,,,01/2011,New,Automatic air conditioning,"Camera, Rear",Front and Side Airbags,Reflexsilber Metallic,Silver Metallic,"Cloth, Black",19950.0,Volkswagen,,4.0
Used vehicle,Cabriolet / Roadster,008224,German edition,128000.0,1984.0,155.0,Petrol,5.0,2/3,Automatic,,1 (None),02/2013,11/2026,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Full leather, Black",12950.0,Volkswagen,3.0,4.0
"Used vehicle, Accident-free",Saloon,6900-25_56979,,92450.0,1197.0,63.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),05/2015,New,"Automatic climatisation, 2 zones",,Front and Side and More Airbags,Limestone Grey Metallic,Grey Metallic,"Cloth, Black",10190.0,Volkswagen,2.0,4.0
Used vehicle,Saloon,229172,,84150.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro4,4 (Green),02/2018,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,tornadorot,Red,"Part leather, Black",19590.0,Volkswagen,2.0,4.0
Used vehicle,Saloon,,German edition,99000.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2016,07/2025,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Pure White,White Metallic,"Cloth, Black",15499.0,Volkswagen,2.0,
Used vehicle,Saloon,,,114187.0,1395.0,90.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),04/2014,New,"Automatic climatisation, 2 zones","Front, Rear, Self-steering systems",Front and Side and More Airbags,Limestone Grey Metallic,Grey Metallic,"Cloth, Black",14900.0,Volkswagen,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,SRS-056077,,89811.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6d,1 (None),03/2023,,"Automatic climatisation, 3 zones","Front, Camera, Self-steering systems, Rear",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Cloth, Grey",24490.0,Volkswagen,1.0,4.0
Used vehicle,Cabriolet / Roadster,,,103200.0,1390.0,118.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2014,New,"Automatic climatisation, 2 zones","Front, Rear, Camera",Front and Side and More Airbags,Dark Purple Metallic,Purple Metallic,"Cloth, Black",12980.0,Volkswagen,3.0,
"Used vehicle, Accident-free",Van / Minibus,0824-GW589207,EU edition,96730.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2016,06/2025,"Automatic climatisation, 3 zones","Rear, Front",Front and Side Airbags,Schwarz (Deep Black Perleffekt),Black Metallic,"Cloth, Black",16865.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,130000.0,1984.0,279.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),07/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Full leather, Black",23399.0,Volkswagen,,
Used vehicle,Saloon,25025,German edition,134000.0,1984.0,221.0,Petrol,5.0,2/3,Automatic,Euro6,,04/2015,,"Automatic climatisation, 2 zones","Rear, Front, Camera",,Lapiz Blue Metallic,Blue Metallic,"Full leather, Black",23990.0,Volkswagen,,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,76000.0,1984.0,263.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2012,05/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,United Grey Metallic,Grey Metallic,Black,15800.0,Volkswagen,,
"Used vehicle, Accident-free",Saloon,,German edition,99998.0,1984.0,220.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2018,05/2025,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Pure White,White Metallic,"Cloth, Black",19991.0,Volkswagen,2.0,
Used vehicle,Saloon,KF-104,,133500.0,1984.0,169.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2017,,"Automatic climatisation, 2 zones","Front, Rear, Camera",Front and Side and More Airbags,Dark Iron Blue Metallic,Blue Metallic,"Cloth, Black",18499.0,Volkswagen,,4.0
Used vehicle,Saloon,,German edition,84900.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),08/2015,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Reflexsilber Metallic,Silver Metallic,"Cloth, Black",13950.0,Volkswagen,2.0,4.0
Used vehicle,Cabriolet / Roadster,15784,German edition,96612.0,1197.0,77.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),06/2014,New,"Automatic climatisation, 2 zones","Front, Rear, Self-steering systems",Front and Side and More Airbags,Sun Red Metallic,Red Metallic,"Cloth, Black",12779.0,Volkswagen,1.0,4.0
Used vehicle,Estate Car,*568743 HAR,German edition,69614.0,1197.0,77.0,Petrol,5.0,4/5,Manual gearbox,,,03/2014,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",15460.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Saloon,,,115000.0,1984.0,169.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),09/2013,11/2026,"Automatic climatisation, 2 zones","Front, Rear",,,White,,13999.0,Volkswagen,2.0,
"Used vehicle, Accident-free",Saloon,5119121,,85086.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2017,06/2026,Automatic air conditioning,"Rear, Camera, Front",Front and Side and More Airbags,White Silver Metallic/Weiß,White Metallic,"Alcantara, Black",16899.0,Volkswagen,3.0,4.0
"Used vehicle, Accident-free",Saloon,,,110000.0,1984.0,169.0,Petrol,5.0,4/5,Automatic,Euro4,,04/2018,07/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,,Grey Metallic,"Cloth, Black",20999.0,Volkswagen,2.0,
"Used vehicle, Accident-free",Saloon,,German edition,85122.0,1984.0,155.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),07/2012,11/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Candy-Weiß,White,"Full leather, Black",14460.0,Volkswagen,,4.0
Used vehicle,Saloon,JD-058662,German edition,94000.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Tornadorot,Red,"Cloth, Black",13777.0,Volkswagen,1.0,4.0
Used vehicle,Saloon,,German edition,99000.0,1984.0,169.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),11/2017,,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Pure White,White Metallic,"Cloth, Black",18949.0,Volkswagen,,4.0
Used vehicle,Saloon,,,123000.0,1984.0,169.0,Petrol,5.0,4/5,Manual gearbox,,,03/2015,06/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Oryxweiß Perlmutteffekt,White Metallic,"Cloth, Black",15999.0,Volkswagen,,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,43885-125,German edition,69702.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6d,4 (Green),06/2022,New,A/C (man.),"Front, Self-steering systems, Rear",Front and Side and More Airbags,Petroleum Blue Metallic,Blue Metallic,"Cloth, Black",21500.0,Volkswagen,1.0,
Used vehicle,Van / Minibus,21985,German edition,78782.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,06/2026,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",16499.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Estate Car,,German edition,90662.0,1197.0,77.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),09/2014,10/2025,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",12885.0,Volkswagen,2.0,
Used vehicle,Cabriolet / Roadster,3006DS,German edition,76087.0,1395.0,110.0,Petrol,4.0,2/3,Manual gearbox,Euro6,4 (Green),04/2016,03/2025,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Full leather, Black",18450.0,Volkswagen,2.0,
"Used vehicle, Accident-free",Estate Car,GFX068,EU edition,92820.0,1197.0,81.0,Petrol,5.0,4/5,Automatic,,,08/2014,,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Tungsten Silver Metallic,Silver Metallic,Black,13599.0,Volkswagen,,
"Used vehicle, Accident-free",Saloon,,,70135.0,1197.0,77.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),07/2012,New,"Automatic climatisation, 2 zones","Front, Self-steering systems, Rear",Front and Side and More Airbags,Candy-Weiß,White,"Part leather, Black",11990.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,,91500.0,1984.0,155.0,Petrol,5.0,2/3,Automatic,Euro5,4 (Green),05/2014,03/2025,No climatisation,"Front, Rear",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Cloth, Black",13550.0,Volkswagen,2.0,4.0
Used vehicle,Estate Car,F28470,,92500.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2016,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Limestone Grey Metallic,Grey Metallic,"Cloth, Black",14980.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Estate Car,A3044,,84600.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2017,New,"Automatic climatisation, 2 zones","Front, Rear, Camera, Self-steering systems",Front and Side and More Airbags,Atlantic Blue Metallic,Blue Metallic,"Cloth, Black",16990.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,14,German edition,114098.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),05/2016,New,"Automatic climatisation, 3 zones","Rear, Front",Front and Side and More Airbags,Deep Black Perleffekt,Black Metallic,"Alcantara, Black",17999.0,Volkswagen,2.0,
"Used vehicle, Accident-free",Saloon,,,120000.0,1984.0,155.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),06/2014,06/2025,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Oryxweiß Perlmutteffekt,White Metallic,"Full leather, Beige",16990.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,012792-VOR,,122850.0,1984.0,195.0,Petrol,5.0,2/3,Automatic,,4 (Green),09/2013,,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,Schwarz,Black Metallic,"Full leather, Black",16380.0,Volkswagen,4.0,4.0
Used vehicle,Saloon,,German edition,76300.0,1197.0,81.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),11/2016,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Uranograu,Grey,"Cloth, Black",12690.0,Volkswagen,1.0,4.0
Used vehicle,Saloon,W369634,German edition,101218.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,,4 (Green),05/2017,,"Automatic climatisation, 2 zones","Front, Camera, Self-steering systems, Rear",Front and Side and More Airbags,Oryxweiß Perlmutteffekt,White Metallic,"Other, Black",15980.0,Volkswagen,2.0,
"Used vehicle, Accident-free",Estate Car,,German edition,59618.0,1598.0,75.0,Diesel,2.0,4/5,Manual gearbox,Euro5,4 (Green),04/2015,New,A/C (man.),Rear,Front and Side and More Airbags,reflexsilber,Silver Metallic,"Cloth, Other",12900.0,Volkswagen,1.0,
"Used vehicle, Accident-free",Van / Minibus,,German edition,59618.0,1598.0,75.0,Diesel,2.0,4/5,Manual gearbox,Euro5,4 (Green),04/2015,New,A/C (man.),Rear,Front and Side and More Airbags,reflexsilber,Silver Metallic,"Cloth, Other",12900.0,Volkswagen,1.0,
Used vehicle,Estate Car,,German edition,80000.0,999.0,81.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),08/2018,07/2025,A/C (man.),"Front, Rear",Front and Side and More Airbags,Uranograu,Grey,"Cloth, Black",15590.0,Volkswagen,1.0,3.0
"Used vehicle, Accident-free",Saloon,,,95878.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2017,,"Automatic climatisation, 2 zones","Front, Rear, Camera",Front and Side and More Airbags,deep black perleffekt,Black Metallic,"Cloth, Black",17990.0,Volkswagen,2.0,4.0
Used vehicle,Saloon,,German edition,104000.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),02/2015,02/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Limestone Grey Metallic,Grey Metallic,"Alcantara, Black",13980.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,EU edition,89260.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2017,New,"Automatic climatisation, 3 zones","Rear, Front",Front and Side and More Airbags,Deep Black,Black Metallic,"Cloth, Black",19950.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Saloon,,,102600.0,1395.0,90.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),10/2013,01/2027,Automatic air conditioning,"Rear, Self-steering systems, Front",Front and Side and More Airbags,,White,"Part leather, Black",12670.0,Volkswagen,2.0,
"Used vehicle, Repaired accident damage",Saloon,347487-2,German edition,105950.0,1984.0,155.0,Petrol,5.0,2/3,Automatic,Euro5,4 (Green),05/2012,01/2026,"Automatic climatisation, 2 zones","Front, Self-steering systems, Camera, Rear",Front and Side and More Airbags,Schwarz,Black,"Cloth, Black",14300.0,Volkswagen,3.0,
"Used vehicle, Accident-free",Van / Minibus,,,87000.0,1595.0,75.0,Petrol,7.0,4/5,Manual gearbox,Euro4,4 (Green),12/2009,New,A/C (man.),"Rear, Camera",Front and Side Airbags,Indienblau,Blue Metallic,Black,21900.0,Volkswagen,1.0,4.0
Used vehicle,Saloon,8406,German edition,48385.0,1984.0,180.0,Petrol,5.0,4/5,Automatic,Euro6d,4 (Green),11/2020,11/2025,"Automatic climatisation, 3 zones","Rear, Front, Self-steering systems",Front and Side and More Airbags,Pure White,White,"Cloth, Black",27530.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,7230974-24-kavan,,55040.0,1968.0,110.0,Diesel,2.0,4/5,Manual gearbox,Euro6,4 (Green),03/2018,New,A/C (man.),"Rear, Front",Front and Side and More Airbags,Candy-Weiß,White,"imitation leather, Grey",24790.0,Volkswagen,1.0,4.0
"Used vehicle, Accident-free",Van / Minibus,7230974-24-pkw,,55040.0,1968.0,110.0,Diesel,2.0,4/5,Manual gearbox,Euro6,4 (Green),03/2018,New,A/C (man.),"Rear, Front",Front and Side and More Airbags,Candy-Weiß,White,"imitation leather, Grey",24790.0,Volkswagen,1.0,4.0
Used vehicle,Van / Minibus,,German edition,96000.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2015,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Pyramid Gold Metallic,Gold Metallic,"Alcantara, Black",14190.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Estate Car,790380,,91000.0,1984.0,228.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,05/2025,"Automatic climatisation, 2 zones","Rear, Front",,Lapiz Blue Metallic,Blue Metallic,"Cloth, Black",24699.0,Volkswagen,2.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,116200.0,1984.0,222.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),04/2014,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Carbon Steel Grey Metallic,Grey Metallic,"Part leather, Black",14900.0,Volkswagen,2.0,
