Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
"Used vehicle, Accident-free",Estate Car,,German edition,111000.0,2967.0,140.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),12/2018,New,"Automatic climatisation, 4 zones","Camera, Rear, Self-steering systems, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",22990.0,Audi,2.0,6.0
"Used vehicle, Accident-free",Saloon,,,98250.0,1984.0,221.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),02/2014,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Pantherschwarz Kristalleffekt,Black Metallic,"Full leather, Black",22490.0,Audi,2.0,4.0
Used vehicle,Saloon,,German edition,93682.0,1798.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2016,09/2025,"Automatic climatisation, 4 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Alcantara, Black",21990.0,Audi,2.0,4.0
Used vehicle,Saloon,67,,83855.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Cloth, Black",20950.0,Audi,1.0,4.0
"Used vehicle, Accident-free",Saloon,,,129900.0,1968.0,135.0,Diesel,5.0,2/3,Automatic,Euro6,,07/2014,05/2026,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,,White,"Part leather, Black",14490.0,Audi,3.0,
"Used vehicle, Accident-free",Saloon,1360,German edition,105502.0,1984.0,221.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),01/2014,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Part leather, Black",22999.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,13270,German edition,93478.0,1984.0,155.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),10/2014,08/2026,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Full leather, Black",20890.0,Audi,,4.0
"Used vehicle, Accident-free",Estate Car,,German edition,114000.0,1798.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",23490.0,Audi,1.0,4.0
Used vehicle,Sports Car / Coupe,1375,German edition,99390.0,1984.0,200.0,Petrol,2.0,2/3,Automatic,Euro5,4 (Green),04/2012,01/2026,Automatic air conditioning,Rear,Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Alcantara, Black",22490.0,Audi,,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,90000.0,2995.0,245.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),10/2013,10/2026,Automatic air conditioning,"Rear, Front, Camera",Front and Side and More Airbags,,Black Metallic,"Full leather, Brown",19800.0,Audi,,6.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,74929.0,999.0,85.0,Petrol,5.0,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),10/2019,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Nanograu Metallic,Grey Metallic,"Cloth, Black",17500.0,Audi,1.0,3.0
"Used vehicle, Accident-free",Saloon,C-127,German edition,105400.0,1984.0,185.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),02/2016,06/2025,"Automatic climatisation, 2 zones","Camera, Front, Rear",Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Cloth, Grey",18900.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Small Car,,German edition,60000.0,999.0,70.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2016,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Cloth, Black",13790.0,Audi,2.0,3.0
"Used vehicle, Accident-free",Cabriolet / Roadster,1377,German edition,82530.0,1395.0,110.0,Petrol,4.0,2/3,Manual gearbox,Euro6d,4 (Green),11/2014,06/2026,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Brown",17990.0,Audi,2.0,4.0
Used vehicle,Saloon,DRN-062905,,126000.0,1968.0,140.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,1 (None),07/2019,07/2026,Automatic air conditioning,"Rear, 360° camera, Self-steering systems, Front",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Full leather, Grey",24999.0,Audi,2.0,4.0
Used vehicle,Saloon,,German edition,102350.0,1984.0,221.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),09/2015,02/2026,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Alcantara, Black",21950.0,Audi,2.0,4.0
Used vehicle,Cabriolet / Roadster,,,86000.0,1984.0,221.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),05/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Sepangblau Perleffekt,Blue Metallic,"Full leather, Black",24499.0,Audi,3.0,
Used vehicle,Saloon,,German edition,96000.0,1984.0,185.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2016,03/2025,"Automatic climatisation, 2 zones","Front, Self-steering systems, Camera, Rear",Front and Side and More Airbags,Argusbraun Metallic,Brown Metallic,"Cloth, Black",19999.0,Audi,2.0,
Used vehicle,Saloon,,German edition,133000.0,1598.0,85.0,Diesel,4.0,4/5,Automatic,Euro6,4 (Green),10/2016,12/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Sohobraun Metallic,Brown Metallic,"Part leather, Black",13999.0,Audi,2.0,4.0
Used vehicle,Saloon,0006C,German edition,83709.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),01/2016,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Gletscherweiss Metallic,White Metallic,"Cloth, Grey",18950.0,Audi,,
Used vehicle,Estate Car,HA061468GK,German edition,83763.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),10/2016,New,"Automatic climatisation, 3 zones","Self-steering systems, Rear, Front, 360° camera",Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Cloth, Black",20970.0,Audi,2.0,
Used vehicle,Estate Car,5372,German edition,109058.0,1798.0,140.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),10/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Dakotagrau Metallic,Grey Metallic,"Cloth, Black",17990.0,Audi,3.0,
"Used vehicle, Accident-free",Small Car,Fahrzeugnummer : 64,German edition,149800.0,1390.0,90.0,Petrol,4.0,4/5,Automatic,Euro5,4 (Green),06/2012,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Part leather, Black",12990.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Sports Car / Coupe,31673,German edition,82850.0,1984.0,169.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),11/2014,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Full leather, Grey",25480.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Saloon,,,105597.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),02/2015,02/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,gletscherweiss,White Metallic,"Part leather, Black",16790.0,Audi,1.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,26,,91000.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,,,06/2015,04/2025,Automatic air conditioning,Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Brown",19500.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,,99406.0,1395.0,92.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),11/2014,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Part leather, Black",15950.0,Audi,2.0,4.0
Used vehicle,Saloon,9772-25_56962KOPIE,,86426.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),02/2017,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Daytona Gray Pearlescent,Grey,"Part leather, Black",22980.0,Audi,2.0,4.0
Used vehicle,Saloon,9772-25_56962,,86426.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),02/2017,New,"Automatic climatisation, 2 zones",,Front and Side and More Airbags,Daytona Gray Pearlescent,Grey,"Part leather, Black",22980.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Saloon,18,German edition,96000.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2016,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,"Individuallackierung, Audi exclu",Blue Metallic,"Cloth, Black",18499.0,Audi,2.0,
Used vehicle,Saloon,29395,German edition,116500.0,1984.0,221.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),04/2014,,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Phantomschwarz Perlef.../Schwarz,Black Metallic,"Alcantara, Black",21890.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Estate Car,,,103400.0,1968.0,120.0,Diesel,5.0,4/5,Automatic,,,01/2020,10/2025,"Automatic climatisation, 3 zones","Rear, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Black",21899.0,Audi,3.0,4.0
Used vehicle,Small Car,B071196-JL,German edition,85614.0,1984.0,170.0,Petrol,4.0,2/3,Manual gearbox,Euro6,4 (Green),02/2016,New,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Part leather, Black",22870.0,Audi,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,Fahrzeugnummer : 29,German edition,113100.0,1984.0,165.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),03/2015,New,"Automatic climatisation, 2 zones","Rear, Camera, Front",Front and Side and More Airbags,Lavagrau Perleffekt,Grey Metallic,"Full leather, Beige",20990.0,Audi,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,1122-300,German edition,88400.0,1984.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2016,New,Automatic air conditioning,"Rear, Front, Camera",Front and Side Airbags,mythosschwarz,Black Metallic,"Full leather, Black",21880.0,Audi,1.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,107000.0,1395.0,110.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),03/2017,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,"Cosmos blue, metallic",Blue Metallic,"Part leather, Black",21990.0,Audi,2.0,4.0
Used vehicle,Cabriolet / Roadster,,,107534.0,1984.0,155.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),07/2013,10/2026,"Automatic climatisation, 3 zones","Camera, Rear, Front",Front and Side Airbags,Misanorot Perleffekt,Red Metallic,"Alcantara, Black",17990.0,Audi,,4.0
"Used vehicle, Accident-free",Saloon,,,92000.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2016,04/2026,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",24950.0,Audi,2.0,4.0
Used vehicle,Estate Car,15183,German edition,111344.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),08/2016,09/2026,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Cloth, Black",18999.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Estate Car,A132884,German edition,80980.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),03/2017,New,"Automatic climatisation, 3 zones","Rear, Front",,Brillantschwarz,Black,"Cloth, Black",22640.0,Audi,2.0,4.0
Used vehicle,Estate Car,,German edition,92065.0,1984.0,132.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),02/2014,New,Automatic air conditioning,"Rear, Camera, Front",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Full leather, Black",21890.0,Audi,2.0,4.0
Used vehicle,Saloon,,German edition,99780.0,2995.0,220.0,Petrol,5.0,4/5,Automatic,Euro5,,05/2013,New,"Automatic climatisation, 4 zones","Front, Rear",Front and Side and More Airbags,Havannaschwarz perleffekt LY8X,Black Metallic,"Full leather, Black",23990.0,Audi,3.0,
Used vehicle,Sports Car / Coupe,10172,,117000.0,1984.0,155.0,Petrol,2.0,2/3,Automatic,,4 (Green),01/2014,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Scubablau Metallic,Blue Metallic,"Alcantara, Black",19990.0,Audi,,4.0
Used vehicle,Cabriolet / Roadster,,,83900.0,1984.0,202.0,Petrol,5.0,2/3,Automatic,Euro5,4 (Green),06/2011,05/2026,Automatic air conditioning,Rear,Front and Side Airbags,Dakotagrau,Grey Metallic,"Full leather, Black",21990.0,Audi,,
"Used vehicle, Accident-free",Saloon,1696,,72000.0,1968.0,140.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,,09/2019,07/2025,Automatic air conditioning,"Front, Rear, Self-steering systems, Camera",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",28990.0,Audi,1.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,103400.0,2967.0,260.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2016,09/2026,Automatic air conditioning,"Camera, Rear, Front",Front and Side and More Airbags,,White,"Full leather, Black",24900.0,Audi,2.0,
Used vehicle,Saloon,0251C,German edition,83361.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),01/2017,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Part leather, Black",19990.0,Audi,,
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,77000.0,1984.0,169.0,Petrol,2.0,2/3,Manual gearbox,Euro6,4 (Green),06/2015,New,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",24900.0,Audi,2.0,4.0
Used vehicle,Sports Car / Coupe,,,82000.0,1798.0,132.0,Petrol,2.0,2/3,Automatic,Euro6,4 (Green),04/2016,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Ibisweiß,White,"Alcantara, Black",23890.0,Audi,2.0,4.0
Used vehicle,Estate Car,0627E,German edition,97916.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2017,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Manhattangrau Metallic,Grey Metallic,"Cloth, Black",23990.0,Audi,,
